10K run;600;0;
16-inch softball;58;0;
5K run;599;0;
Abseiling;119;0;
Acrobatic gymnastics;465;0;
Adventure racing;523;0;
Aerobatics;3;0;
Aerobic gymnastics;466;0;
Aid climbing;120;0;
Aikido;156;0;
Aiki-jÅ«jutsu;155;0;
Air racing;4;0;
All-terrain vehicle competition;858;0;
Alpine skiing;620;0;
Amateur wrestling;163;0;
American flag rugby;442;0;
American football;420;0;
American handball;538;1;X
American handball;718;0;
Ancient games;367;0;
Angling;344;0;
Apnoea finswimming;761;0;
Aquathlon (underwater wrestling);762;0;
Arena football;424;0;
Artistic billiards;276;0;
Artistic cycling;135;0;
Artistic gymnastics;467;0;
Artistic pool;291;0;
Association football;391;0;
Australian football;408;0;
Australian handball;539;1;X
Australian handball;719;0;
Austus;450;0;
Auto Race;831;0;
Autocross (a.k.a. Slalom);783;0;
Autograss;784;0;
Axe throwing;239;0;
Ba game;378;0;
Backpacking (wilderness);714;0;
Backstroke;754;0;
Badminton;14;1;X
Badminton;552;0;
Bagatelle;309;0;
Baguazhang;209;0;
Balance beam;468;0;
Balkline and straight rail;273;0;
Ball;478;0;
Ball badminton;15;1;X
Ball badminton;553;0;
Ball hockey;652;0;
Bando;210;1;X
Bando;653;0;
Bandy;504;1;X
Bandy;654;0;
Banger racing;785;0;
Bank pool;290;0;
Bar billiards;310;0;
Bareback Bronc Riding;589;0;
Barrel racing;315;1;X
Barrel Racing;586;0;
Bartitsu;211;0;
Baseball;54;0;
Baseball pocket billiards;288;0;
Basketball;39;0;
Basque pelota;540;1;X
Basque pelota;554;1;X
Basque pelota;720;0;
Basque traditional weightlifting;775;0;
Bat and trap;59;0;
Baton twirling;90;0;
BattÅ�jutsu;240;0;
Beach basketball;40;0;
Beach handball;493;0;
Beach rugby;432;0;
Beach soccer;397;0;
Beach tennis;557;0;
Beach ultimate;354;0;
Beach volleyball;35;0;
Beagling;498;0;
Benchrest shooting;643;0;
Biathlon;524;0;
Bicycle polo;688;0;
Big game hunting;499;0;
Big-game fishing;345;0;
Biribol;16;0;
Blackball (a.k.a. British eight-ball pool);280;0;
BMX;136;0;
Board track racing;786;1;X
Board track racing;832;0;
Bobsleigh;630;0;
Bodyboarding;105;0;
Bodybuilding;776;0;
Boffer fighting;241;0;
Bokator;189;0;
Boli Khela;167;0;
Bossaball;17;0;
Bottle pool;306;0;
Bouldering;125;0;
Bowlliards;294;0;
Box lacrosse;683;0;
Boxing;188;0;
BrÃ¤nnboll â€“ four bases;61;0;
Brazilian jiu-jitsu;159;0;
Breakaway Roping;592;0;
Breaststroke;755;0;
British baseball â€“ four posts;60;0;
British bulldogs (American Eagle);702;0;
Bronc Riding;587;0;
Broomball;506;1;X
Broomball;656;0;
Bujinkan;212;0;
Bullriding;584;0;
Bumper pool;311;0;
Bushwhacking;716;0;
Butterfly stroke;756;0;
Butts Up;721;0;
Buzkashi;314;0;
Caid;379;0;
Calcio Fiorentino;380;0;
Calf Roping;593;0;
Cammag;677;0;
Camogie;679;0;
Campdrafting;316;0;
Camping (game);381;0;
Canadian football;429;0;
Canoe polo;689;1;X
Canoe polo;753;0;
Canoeing;734;0;
Canyoning (Canyoneering);130;0;
Capoeira;190;0;
Capture the flag;703;0;
Card stacking;648;0;
Carom billiards;270;0;
carromNovuss (and cued forms of );277;0;
Casterboarding;92;0;
Casting;346;0;
Catch wrestling;175;0;
Cestoball;46;0;
Charreada;318;0;
Cheerleading;1;0;
Chicago;295;0;
Chilean rodeo;319;0;
Chinese handball;722;0;
Chinlone;368;0;
Choi Kwang-Do;186;0;
Cirit;317;0;
Clay pigeon shooting;635;0;
Cliff diving;773;0;
Club;479;0;
Cluster ballooning;5;0;
Cnapan;382;0;
Coastal and ocean rowing;747;0;
Coasteering;131;0;
Cockfighting;187;0;
Collar-and-elbow;168;0;
Competitive dancing;0;0;
Composite rules shinty-hurling;681;0;
Corkball â€“ four bases (no base-running);62;0;
Cornish hurling;383;0;
Cornish wrestling;169;0;
Cowboy;307;0;
Cowboy action shooting;646;0;
Cowboy polo;690;0;
Creeking;736;0;
Cribbage (pool);289;0;
Cricket â€“ two creases;63;0;
Cross country;320;0;
Cross-country mountain biking;138;0;
Cross-country rally;833;0;
Cross-country running;601;0;
Cross-country skiing;624;0;
CrossFit;782;0;
Cuju;369;0;
Curling;508;0;
Cushion caroms;274;0;
Cutthroat;297;0;
Cutting;321;0;
Cycle polo;139;0;
Cycle speedway;140;0;
Cyclo-cross;137;0;
Czech handball;494;0;
Danish longball;69;0;
Deaf basketball;41;0;
Decathlon;526;0;
Deep-water soloing;126;0;
Deer hunting;500;0;
Demolition derby;787;0;
Desert racing;788;0;
Dice stacking;649;0;
Dinghy sailing;619;0;
Dirt jumping;142;0;
Dirt track racing;789;0;
Disc dog;355;0;
Disc golf;356;0;
Disc golf (urban);357;0;
Diving;774;0;
Dodge disc;358;0;
Dodgeball;112;0;
Double disc court;359;0;
Downhill mountain biking;141;0;
Drag boat racing;825;0;
Drag racing;790;0;
Dragon boat racing;750;0;
Dressage;322;0;
Drifting;791;0;
Duathlon;525;0;
Dumog;170;0;
Egyptian stick fencing;243;0;
Eight-ball;279;0;
Eight-man football;421;0;
Ekiden;605;0;
Elephant polo;691;0;
Endurance;598;0;
Endurance racing;834;0;
Endurance riding;323;0;
Enduro;835;0;
English billiards;305;0;
English pleasure;324;0;
English school games;412;0;
Episkyros;370;0;
Equestrian vaulting;327;0;
Equitation;325;0;
Eskrima;242;0;
Eton College;413;0;
Eton Fives;543;0;
Eton wall game;451;0;
Eventing;326;0;
F1 powerboat racing;826;0;
Fastnet;49;0;
Fast-pitch softball;57;0;
Fell running;609;0;
Fencing;244;0;
Field archery;7;0;
Field game;414;0;
Field handball;495;0;
Field hockey;658;0;
Field lacrosse;684;0;
Field target;640;0;
Figure skating;512;0;
Fistball;18;0;
Five-a-side football;396;0;
Five-pins;272;0;
Fives;542;1;X
Fives;723;0;
Flag football;422;0;
Flight archery;8;0;
Floor;469;0;
Floorball;660;0;
Flutterguts;360;0;
Fly fishing;352;0;
Flyak;737;0;
Flying trapeze;487;0;
Folk wrestling;166;0;
Folkrace;792;0;
Foosball;313;0;
Footbag net;19;0;
Football tennis;20;0;
Footvolley;21;0;
Formula Libre;794;0;
Formula racing;793;0;
Formula Student;795;0;
Four square;546;0;
Four-ball (yotsudama);275;0;
Fox hunting;501;0;
Free running;695;0;
Freeboard (skateboard);93;0;
Freeboating;738;0;
Freediving;763;0;
Freestyle;361;0;
Freestyle BMX;143;0;
Freestyle competition;362;0;
Freestyle footbag;696;0;
Freestyle football;404;1;X
Freestyle football;697;0;
Free-style moto;857;0;
Freestyle motocross;836;0;
Freestyle skiing;621;0;
Freestyle swimming;757;0;
Freestyle wrestling;165;0;
Frisian handball;545;0;
Frontenis;555;0;
Fujian White Crane;191;0;
Fullbore target rifle;641;0;
Futebol de SalÃ£o;398;0;
Futsal;399;0;
Gaelic football;417;0;
Gaelic handball;547;1;X
Gaelic handball;724;0;
Ga-ga;113;0;
Gatka;245;0;
Geocaching;533;0;
Gig racing;746;0;
Glima;171;0;
Goalball;490;0;
Goaltimate;363;0;
Goat Tying;597;0;
Gouren;172;0;
Grand Prix motorcycle racing;837;0;
Grasstrack;838;0;
Greco-Roman wrestling;164;0;
Greek wrestling;185;0;
Gridiron football;419;0;
Gungdo;9;0;
Guts;364;0;
Gymkhana;328;0;
Gymnastics;2;0;
Half marathon;602;0;
Hana Ichi Monme;704;0;
Hapkido;213;0;
Hardball squash;574;0;
Hardcourt Bike Polo;144;0;
Hare coursing;502;0;
Harness racing;329;0;
Harpastum;371;0;
Harrow football;416;0;
Haxey Hood;384;0;
Heptathlon;527;0;
Hide and seek;705;0;
High bar;470;0;
High power rifle;642;0;
Highland games;777;0;
Hiking;132;1;X
Hiking;713;0;
Hillclimbing;796;1;X
Hillclimbing;839;0;
Hockey;651;0;
HojÅ�jutsu;246;0;
Hoop;480;0;
Hooverball;22;0;
Hopper ballooning;6;0;
Horse polo;692;0;
Horse racing;330;0;
Horseball;331;0;
Hot box;365;0;
Hunter;332;0;
Hunter-jumpers;333;0;
Hurling;678;0;
Hwa Rang Do;214;0;
Hybrid caromâ€“pocket games;304;0;
Hybrid codes;449;0;
Hydroplane racing;827;0;
IaidÅ�;247;0;
Iaijutsu;248;0;
Ice climbing;121;0;
Ice dancing;515;0;
Ice fishing;353;0;
Ice hockey;509;1;X
Ice hockey;661;0;
Ice racing;797;1;X
Ice racing;840;0;
Ice speedway;841;0;
Ice yachting;511;1;X
Ice yachting;613;0;
Icosathlon;528;0;
Immersion finswimming;764;0;
Individual medley;758;0;
Indoor archery;10;0;
Indoor cricket;64;0;
Indoor enduro;842;0;
Indoor field hockey;659;0;
Indoor football;423;0;
Indoor netball;50;0;
Indoor soccer;401;0;
Inline hockey;669;0;
Intercrosse;686;0;
International fronton;725;0;
International rules football;452;0;
JÅ«kendÅ�;251;0;
JÅ�dÅ�;249;0;
Jai alai;541;0;
Jeet Kune Do;215;0;
Jet sprint boat racing;828;0;
Jeu de paume;548;0;
Jianzi;23;0;
Jittejutsu;252;0;
Jogo do pau;250;0;
Jorkyball;392;1;X
Jorkyball;726;0;
Jousting;334;0;
Judo;158;0;
Jugger;706;0;
Juggling;476;0;
Jujutsu;157;0;
Kabaddi;707;0;
Kajukenbo;216;0;
Kalaripayattu;217;0;
Karate;192;0;
Kart racing;798;0;
Keep away;114;0;
Keepie uppie;405;0;
Kelly pool;296;0;
Kemari;372;0;
Kendo;253;0;
Kenjutsu;254;0;
KenpÅ�;193;0;
Kho kho;708;0;
Kick the can;709;0;
Kickball;70;0;
Kickboxing;194;0;
Kilikiti;71;0;
Killer;298;0;
Kin-Ball;115;0;
Ki-o-rahi;373;0;
Kite buggy;516;0;
Kite fighting;517;0;
Kite landboarding;518;0;
Kiteboarding;618;0;
Kitesurfing;519;0;
Knattleikr;385;0;
Kneeboarding;110;0;
Korfball;47;0;
Krabiâ€“krabong;255;0;
Krav Maga;218;0;
Kuk Sool Won;219;0;
Kumdo;268;0;
Kung fu;256;0;
Kurash;173;0;
KyÅ«dÅ�;11;1;X
KyÅ«dÅ�;257;0;X
KyÅ«jutsu;258;0;X
La soule;386;0;
Lacrosse;682;0;
Ladies' Gaelic football;418;0;
Lancashire wrestling;174;0;
Land sailing;614;0;
Land speed records;799;0;
Land windsurfing;615;0;
Lapta â€“ two salos (bases);72;0;
Legends car racing;800;0;
Lelo burti;387;0;
Lethwei;195;0;
Letterboxing;536;0;
Limited overs cricket;65;0;
Longboarding;94;0;
Luge;631;0;
Malla-yuddha;176;0;
Marathon;603;0;
Marine Corps Martial Arts Program;220;0;
Marn Grook;374;0;
Masters Football;402;0;
Masters Rugby League;434;0;
Matball;74;0;
Match play;458;0;
Matkot;558;0;
Medieval football;377;0;
Medley relay;760;0;
Metallic silhouette;644;0;
Metallic silhouette shooting;647;0;
Metro footy;411;0;
Midget car racing;801;0;
Mini rugby;443;0;
Miniature Bull Riding;585;0;
Miniature golf;457;0;
Miniten;559;0;
Mixed climbing;122;0;
Mixed martial arts;221;0;
Mob football;388;0;
Mod league;435;0;
Model aerobatics;580;0;
Modern Arnis;259;0;
Modern pentathlon;529;0;
Mongolian wrestling;177;0;
Monster truck;802;0;
Moscow broomball;507;1;X
Moscow broomball;657;0;
Motocross;843;0;
Motorcycle drag racing;844;0;
Motorcycle speedway;845;0;
Mountain running;611;0;
Mountain unicycling;149;0;
Mountainboarding;100;0;
Mountaineering;123;0;
Muay Thai;196;0;
Mud bogging;803;0;
Naginatajutsu;260;0;
Netball;48;0;
Newcomb ball;116;0;
Nguni stick-fighting;261;0;
Nine-a-side footy;409;0;
Nine-ball;281;0;
Nine-man football;425;0;
Ninjutsu;223;0;
Noodling;347;0;
Nordic combined;622;0;
Nordic skiing;623;0;
Northern Praying Mantis;222;0;
Obstacle variations;308;0;
Off-road racing;804;0;
Off-roading;846;0;
Offshore powerboat racing;829;0;
Oina;75;0;
Okinawan kobudÅ�;262;0;
Old cat â€“ variable;76;0;
Olympic weightlifting;778;0;
One Day International;66;0;
One-pocket;283;0;
Orienteering;534;0;
Other;129;0;
Outrigger canoeing;735;0;
Over-the-line â€“ qv;77;0;
Oztag;710;0;
Paddleboarding;111;0;
Padel;24;1;X
Padel;560;0;
Pair skating;514;0;
Palant;78;0;
Paleta FrontÃ³n;561;0;
Palla;549;0;
Pankration;224;0;
Papi fut;400;0;
Parallel bars;471;0;
Paralympic football;393;0;
Paralympic volleyball;36;0;
Parasailing;520;0;
Parkour;699;0;
Patball;550;0;
Pato;335;0;
Pehlwani;178;0;
Pelota mixteca;562;0;
Pencak Silat;225;0;
Pentathlon;530;0;
Personal water craft;830;0;
PesÃ¤pallo â€“ four bases;79;0;
Peteca;25;0;
Pickleball;26;1;X
Pickleball;563;0;
Pickup truck racing;805;0;
Platform tennis;27;1;X
Platform tennis;564;0;
Pocket billiards (pool);278;0;
Pole bending;590;0;
Pole climbing;134;0;
Polo;687;0;
Pommel horse;472;0;
Pond hockey;662;0;
Popinjay;12;0;
Power hockey;663;0;
Powerbocking;698;0;
Powerchair Football;394;0;
Powerlifting;779;0;
Practical shooting;645;0;
Pradal serey;197;0;
Production car racing;806;0;
Professional wrestling;179;0;
Punchball;80;0;
Qianball;565;0;
Quidditch;117;0;
Race of Champions;807;0;
Racewalking;715;0;
Racketlon;566;0;
Racquetball;567;1;X
Racquetball;727;0;
Racquets;568;0;
Rafting;743;0;
Rally raid;808;1;X
Rally raid;847;0;
Rallycross;809;0;
Rallying;810;0;
RC racing;581;0;
Real tennis;569;0;
Rec footy;410;0;
Red rover;711;0;
Reduced variants;395;0;
Regularity rally;811;0;
Reining;336;0;
Rhythmic gymnastics;477;0;
Ribbon;481;0;
Ringball;51;0;
Ringette;510;1;X
Ringette;666;0;
Rink bandy;505;1;X
Rink bandy;655;0;
Rinkball;667;0;
Riverboarding;106;0;
Road bicycle racing;145;0;
Road racing;812;1;X
Road racing;848;0;
Road running;604;0;
Robot combat;582;0;
Rocball;28;0;
Rock climbing;124;0;
Rock fishing;351;0;
Rodeo;337;0;
Rogaining;535;0;
Roller hockey;668;0;
Roller hockey (Quad);670;0;
Rope;482;0;
Rope climbing;133;0;
Rope jumping;483;0;
Roping;591;0;
Rossall Hockey;672;0;
Rotation;287;0;
Rounders â€“ four bases or posts;81;0;
Rowing (sport);745;0;
Royal Shrovetide Football;389;0;
Rugby Fives;544;0;
Rugby football;431;0;
Rugby league;433;0;
Rugby league nines;436;0;
Rugby league sevens;437;0;
Rugby sevens;444;0;
Rugby tens;447;0;
Rugby union;441;0;
Russian pyramid;299;0;
SÅ�jutsu;265;0;
Saddle Bronc Riding;588;0;
Sailing;616;0;
Sambo (martial art);160;0;
Samoa rules;453;0;
Sandboarding;101;0;
Sanshou;198;1;X
Sanshou;226;0;
Savate;199;0;
Schwingen;180;0;
Scootering;96;1;X
Scootering;700;0;
"Scrub baseball â€“ four bases (not a team game per	se)";82;0;
Scuba diving;765;0;
Sea kayaking;739;0;
Segway polo;693;0;
Sepak takraw;29;0;
Seven-ball;285;0;
ShÅ�rin-ryÅ« ShidÅ�kan;228;0;
Shaolin Kung Fu;200;0;
ShidÅ�kan Karate;227;0;
Shinty;680;0;
Shoot boxing;229;0;
Shootfighting;230;0;
Shorinji Kempo;231;0;
Short track motor racing;813;0;
Shotgun start;463;0;
Show jumping;338;0;
Shuai jiao;181;0;
Shurikenjutsu;263;0;
Sikaran;201;0;
Silambam;264;0;
Silat;202;0;
Single scull;749;0;
Single skating (men's and ladies' singles);513;0;
Sinuca brasileira;301;0;
Sipa;30;0;
Six-man football;426;0;
Six-red snooker;302;0;
Skateboarding;91;0;
Skater hockey;671;0;
Skeet shooting;636;0;
Skeleton;633;0;
Ski jumping;626;0;
Ski touring;627;0;
Skibobbing;148;1;X
Skibobbing;632;0;
Skijoring;628;0;
Skimboarding;107;0;
Skins game;459;0;
Skyrunning;612;0;
Skysurfing;97;0;
Slacklining;484;0;
Slamball;52;0;
Sledge hockey;664;0;
Slot car racing;583;0;
Slow pitch;56;0;
Snooker;300;0;
Snooker plus;303;0;
Snorkelling;767;0;
Snow kiting;521;0;
Snow rugby;448;0;
Snowboarding;99;0;
Snowkiting;102;0;
Snowmobile racing;814;0;
Snowshoe running;608;0;
Soft tennis;570;0;
Softball;55;0;
Spearfishing;348;1;X
Spearfishing;766;0;
Speed golf;460;0;
Speed pool;293;0;
Speed skiing;629;0;
Speedball;454;0;
Speed-ball;571;0;
Speedminton;572;0;
Spongee;673;0;
Sport climbing;127;0;
Sport diving (sport);768;0;
Sport fishing;349;0;
Sport kite (Stunt kite);522;0;
Sport stacking;650;0;
Sporting clays;638;0;
SportRelay Ball;53;0;
Sports car racing;815;0;
Sprint car racing;816;0;
Sprint football;427;0;
Squash;573;1;X
Squash;728;0;
Squash tennis;575;1;X
Squash tennis;729;0;
Squirt boating;740;0;
Ssireum;182;0;
Stand up paddle boarding;751;0;
Static trapeze;488;0;
Steeplechase;339;0;
Steer Roping;595;0;
Steer Wrestling;596;0;
Steinstossen;781;0;
StickÃ©;576;0;
Stickball â€“ variable;83;0;
Still rings;473;0;
Stock car racing;818;0;
Stool ball â€“ two stools;84;0;
Straight pool (14.1 continuous);282;0;
Street football;403;0;
Street football (American);430;0;
Street hockey;674;0;
Street racing;817;0;
Street unicycling;150;0;
Street workout;701;0;
Streetball;42;0;
Streetboarding;95;0;
Streetluge;98;0;
Strength athletics (strongman);780;0;
Stroke play;461;0;
Subak;203;0;
Suicide (game);730;0;
Sumo;161;0;
Superbike racing;849;0;
Supercross;850;0;
Supermoto;851;0;
Superside;853;0;
Supersport racing;852;0;
Surf fishing;350;0;
Surf kayaking;741;0;
Surfboat;748;0;
Surfing;103;0;
Sur-papakh;340;0;
Swamp football;406;0;
Sword fighting;266;0;
Synchronized swimming;759;0;
Systema;232;0;
Table Sports;312;0;
Table tennis;31;1;X
Table tennis;577;0;
Taekkyeon;204;0;
Taekwondo;205;0;
Tag;712;0;
Tag rugby;438;1;X
Tag rugby;445;0;
T'ai chi ch'uan;233;0;
TaidÅ�;206;0;
Tang Soo Do;207;0;
Target archery;13;0;
Target shooting;639;0;
Tchoukball;491;0;
Team handball;492;0;
Team penning;341;0;
Team play;462;0;
Team Roping;594;0;
Tee-ball;85;0;
Telemark skiing;625;0;
Ten-ball;286;0;
Tennis;32;1;X
Tennis;578;0;
Tennis polo;579;0;
Tent pegging;342;0;
Test cricket;67;0;
Tetrathlon;531;0;
The Massachusetts Game â€“ four bases;73;0;
Three sided football;407;0;
Three-ball;284;0;
Three-cushion;271;0;
Throwball;33;0;
Time attack;819;0;
Toboggan;634;0;
Torball;496;0;
Touch football;428;1;X
Touch football;439;0;
Touch rugby;446;0;
Touring car racing;821;0;
Tower running;606;0;
Town ball â€“ variable;86;0;
Track cycling;146;0;
Track racing;854;0;
Tractor pulling;820;0;
Traditional climbing;128;0;
Trail running;610;0;
Trampolining;485;0;
Trap shooting;637;0;
Trapeze;486;0;
Trial;855;0;
Triathlon;532;0;
Trick shot competition;292;0;
Truck racing;822;0;
TT racing;856;0;
Tumbling;489;0;
Twenty20;68;0;
Ultimate;366;0;
Ultramarathon;607;0;
Underwater cycling;147;0;
Underwater hockey;675;1;X
Underwater hockey;769;0;
Underwater ice hockey;665;0;
Underwater orienteering;770;0;
Underwater photography (sport);771;0;
Underwater target shooting;772;0;
Uneven bars;474;0;
Unicycle basketball;43;1;X
Unicycle basketball;152;0;
Unicycle hockey;153;1;X
Unicycle hockey;676;0;
Unicycle trials;154;0;
Unicycling;151;0;
Universal football;455;0;
Uppies and Downies;390;0;
Urban Golf;464;0;
Vajra-mushti;234;0;
Vale tudo;235;0;
Valencian frontÃ³;731;0;
Valencian pilota;551;0;
Varzesh-e Pahlavani;183;0;
Vault;475;0;
Vigoro â€“ two wickets;87;0;
Vintage racing;823;0;
Volata;456;0;
Volleyball;34;0;
Vovinam;236;0;
Wakeboarding;109;0;
Wakesurfing;104;0;
Walking;717;0;
Wall game;415;0;
Wallball;732;0;
Wallyball;38;1;
Wallyball;733;0;
Water basketball;44;0;
Water polo;497;1;
Water polo;752;0;
Water volleyball;37;0;
Waymarking;537;0;
Western pleasure;343;0;
Wheelchair basketball;45;0;
Wheelchair rugby league;440;0;
Wheelstand competition;824;0;
White water rafting;744;0;
Whitewater kayaking;742;0;
Wiffleball;89;0;
Windsurfing;108;1;
Windsurfing;617;0;
Wing Chun;208;1;
Wing Chun;269;0;
Wireball;88;0;
Woggabaliri;375;0;
Wolf hunting;503;0;
Women's lacrosse;685;0;
Wrestling;162;0;
Wushu;267;0;
Xare;556;0;
Xing Yi Quan;237;0;
YaÄŸlÄ± GÃ¼reÅŸ;184;0;
Yak polo;694;0;
Yubi lakpi;376;0;
Yukigassen;118;0;
Zen Bu Kan Kempo;238;0;
